image_id,split,tiff_image_path,tif_label_path
10078660_15,train,data/tiff/train/10078660_15.tiff,data/tiff/train_labels/10078660_15.tif
10078675_15,train,data/tiff/train/10078675_15.tiff,data/tiff/train_labels/10078675_15.tif
10078690_15,train,data/tiff/train/10078690_15.tiff,data/tiff/train_labels/10078690_15.tif
10078705_15,train,data/tiff/train/10078705_15.tiff,data/tiff/train_labels/10078705_15.tif
10078720_15,train,data/tiff/train/10078720_15.tiff,data/tiff/train_labels/10078720_15.tif
10078735_15,train,data/tiff/train/10078735_15.tiff,data/tiff/train_labels/10078735_15.tif
10078750_15,train,data/tiff/train/10078750_15.tiff,data/tiff/train_labels/10078750_15.tif
10228660_15,train,data/tiff/train/10228660_15.tiff,data/tiff/train_labels/10228660_15.tif
10228675_15,train,data/tiff/train/10228675_15.tiff,data/tiff/train_labels/10228675_15.tif
10228705_15,train,data/tiff/train/10228705_15.tiff,data/tiff/train_labels/10228705_15.tif
10228720_15,train,data/tiff/train/10228720_15.tiff,data/tiff/train_labels/10228720_15.tif
10228735_15,train,data/tiff/train/10228735_15.tiff,data/tiff/train_labels/10228735_15.tif
10228750_15,train,data/tiff/train/10228750_15.tiff,data/tiff/train_labels/10228750_15.tif
10228765_15,train,data/tiff/train/10228765_15.tiff,data/tiff/train_labels/10228765_15.tif
10228780_15,train,data/tiff/train/10228780_15.tiff,data/tiff/train_labels/10228780_15.tif
10228795_15,train,data/tiff/train/10228795_15.tiff,data/tiff/train_labels/10228795_15.tif
10378660_15,train,data/tiff/train/10378660_15.tiff,data/tiff/train_labels/10378660_15.tif
10378675_15,train,data/tiff/train/10378675_15.tiff,data/tiff/train_labels/10378675_15.tif
10378690_15,train,data/tiff/train/10378690_15.tiff,data/tiff/train_labels/10378690_15.tif
10378705_15,train,data/tiff/train/10378705_15.tiff,data/tiff/train_labels/10378705_15.tif
10378720_15,train,data/tiff/train/10378720_15.tiff,data/tiff/train_labels/10378720_15.tif
10378735_15,train,data/tiff/train/10378735_15.tiff,data/tiff/train_labels/10378735_15.tif
10378750_15,train,data/tiff/train/10378750_15.tiff,data/tiff/train_labels/10378750_15.tif
10378765_15,train,data/tiff/train/10378765_15.tiff,data/tiff/train_labels/10378765_15.tif
10378795_15,train,data/tiff/train/10378795_15.tiff,data/tiff/train_labels/10378795_15.tif
10528660_15,train,data/tiff/train/10528660_15.tiff,data/tiff/train_labels/10528660_15.tif
10528675_15,train,data/tiff/train/10528675_15.tiff,data/tiff/train_labels/10528675_15.tif
10528690_15,train,data/tiff/train/10528690_15.tiff,data/tiff/train_labels/10528690_15.tif
10528705_15,train,data/tiff/train/10528705_15.tiff,data/tiff/train_labels/10528705_15.tif
10528720_15,train,data/tiff/train/10528720_15.tiff,data/tiff/train_labels/10528720_15.tif
10528735_15,train,data/tiff/train/10528735_15.tiff,data/tiff/train_labels/10528735_15.tif
10528750_15,train,data/tiff/train/10528750_15.tiff,data/tiff/train_labels/10528750_15.tif
10528765_15,train,data/tiff/train/10528765_15.tiff,data/tiff/train_labels/10528765_15.tif
10528780_15,train,data/tiff/train/10528780_15.tiff,data/tiff/train_labels/10528780_15.tif
10528795_15,train,data/tiff/train/10528795_15.tiff,data/tiff/train_labels/10528795_15.tif
10678660_15,train,data/tiff/train/10678660_15.tiff,data/tiff/train_labels/10678660_15.tif
10678675_15,train,data/tiff/train/10678675_15.tiff,data/tiff/train_labels/10678675_15.tif
10678690_15,train,data/tiff/train/10678690_15.tiff,data/tiff/train_labels/10678690_15.tif
10678705_15,train,data/tiff/train/10678705_15.tiff,data/tiff/train_labels/10678705_15.tif
10678720_15,train,data/tiff/train/10678720_15.tiff,data/tiff/train_labels/10678720_15.tif
10678735_15,train,data/tiff/train/10678735_15.tiff,data/tiff/train_labels/10678735_15.tif
10678750_15,train,data/tiff/train/10678750_15.tiff,data/tiff/train_labels/10678750_15.tif
10678765_15,train,data/tiff/train/10678765_15.tiff,data/tiff/train_labels/10678765_15.tif
10678780_15,train,data/tiff/train/10678780_15.tiff,data/tiff/train_labels/10678780_15.tif
10678795_15,train,data/tiff/train/10678795_15.tiff,data/tiff/train_labels/10678795_15.tif
10678810_15,train,data/tiff/train/10678810_15.tiff,data/tiff/train_labels/10678810_15.tif
10678825_15,train,data/tiff/train/10678825_15.tiff,data/tiff/train_labels/10678825_15.tif
10678870_15,train,data/tiff/train/10678870_15.tiff,data/tiff/train_labels/10678870_15.tif
10678885_15,train,data/tiff/train/10678885_15.tiff,data/tiff/train_labels/10678885_15.tif
10828645_15,train,data/tiff/train/10828645_15.tiff,data/tiff/train_labels/10828645_15.tif
